Game ID,League,Bet Name,Game Name,Market Name,line_caesars,Odds_caesars,line_pinnacle,Odds_pinnacle,EV_caesars
16196-34048-2024-09-21-18,MLB,Los Angeles Dodgers,Los Angeles Dodgers vs Colorado Rockies,1st Inning Moneyline 3-Way,,220.0,,193.0,7.0735461420063075
16196-34048-2024-09-21-18,MLB,Gavin Lux Yes,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs Yes/No,,850.0,,770.0,7.054315979265283
16196-34048-2024-09-21-18,MLB,Gavin Lux Over 0.5,Los Angeles Dodgers vs Colorado Rockies,Player Home Runs,0.5,850.0,0.5,770.0,7.054315979265283
16343-17324-24-38,NFL,Tony Pollard Over 62.5,Tennessee Titans vs Green Bay Packers,Player Rushing Yards,62.5,-108.0,62.5,-130.0,6.722238009535552
16343-17324-24-38,,Romeo Doubs,,Anytime Touchdown Scorer,,480.0,,433.0,6.684324761799658
16343-17324-24-38,,Romeo Doubs Over 0.5,,Player Touchdowns,0.5,480.0,0.5,433.0,6.684324761799658
16196-34048-2024-09-21-18,MLB,Walker Buehler Under 6.5,Los Angeles Dodgers vs Colorado Rockies,Player Strikeouts,6.5,-142.0,6.5,-176.0,6.544352789084584
20026-35734-24-38,NCAAF,UCLA,LSU vs UCLA,1st Half Moneyline,,650.0,,591.0,6.410147271643808
60486-26495-2024-09-21-16,MLB,Houston Astros,Houston Astros vs Los Angeles Angels,1st Inning Moneyline 3-Way,,245.0,,219.0,6.0298727641526995
39506-20895-2024-09-21-13,MLB,Kutter Crawford Under 4.5,Boston Red Sox vs Minnesota Twins,Player Hits Allowed,4.5,116.0,4.5,-100.0,5.882352941176478
12164-37900-2024-09-21-13,MLB,Ranger Suarez Over 4.5,New York Mets vs Philadelphia Phillies,Player Strikeouts,4.5,-131.0,4.5,-158.0,5.871214098989476
16087-75184-24-38,NCAAF,South Florida,South Florida vs Miami Florida,1st Half Moneyline,,400.0,,364.0,5.6457065584854575
22677-25327-24-38,NFL,De'Von Achane Over 74.5,Seattle Seahawks vs Miami Dolphins,Player Rushing Yards,74.5,-109.0,74.5,-128.0,5.534568567488158
13482-30741-24-38,NCAAF,New Mexico State,Sam Houston State vs New Mexico State,Moneyline,,550.0,,504.0,5.505778470328536
43291-12171-24-38,NCAAF,Arkansas State,Iowa State vs Arkansas State,Moneyline,,900.0,,830.0,5.418511490617732
14412-37337-2024-09-21-16,MLB,Arizona Diamondbacks,Milwaukee Brewers vs Arizona Diamondbacks,1st Inning Moneyline 3-Way,,330.0,,301.0,5.1293335289227855
